#TOYON DIGITIZED
#Freq (GHz), Gain (dB)
0.3, 6.873563218390807
0.3201793721973094, 7.222222222222225
0.3390134529147982, 7.222222222222225
0.36053811659192825, 7.2490421455938705
0.3807174887892376, 7.302681992337165
0.39955156950672643, 7.517241379310347
0.4197309417040358, 7.758620689655174
0.44125560538116587, 7.946360153256707
0.46008968609865464, 8.053639846743296
0.48026905829596406, 8.080459770114944
0.4991031390134528, 8.053639846743296
0.5192825112107622, 8.026819923371649
0.5408071748878923, 7.9731800766283545
0.5582959641255605, 8.053639846743296
0.5798206278026905, 8.080459770114944
0.5986547085201792, 8.187739463601533
0.6201793721973092, 8.45593869731801
0.6403587443946188, 8.724137931034484
0.6605381165919282, 9.019157088122608
0.6807174887892375, 9.421455938697319
0.6995515695067263, 9.555555555555557
0.7197309417040358, 9.475095785440615
0.7399103139013452, 9.501915708812263
0.7587443946188339, 10.011494252873565
0.7816143497757846, 11.003831417624522
0.7991031390134526, 11.808429118773947
0.8206278026905829, 12.344827586206897
0.8313901345291479, 12.559386973180079
0.8408071748878923, 12.505747126436782
0.8502242152466366, 12.31800766283525
0.8582959641255603, 11.969348659003831
0.8798206278026903, 10.92337164750958
0.8999999999999997, 10.440613026819925
0.9188340807174886, 10.816091954022989
0.939013452914798, 11.245210727969349
0.9578475336322867, 11.003831417624522
0.9686098654708517, 10.467432950191572
0.9766816143497756, 9.823754789272032
0.9847533632286993, 9.260536398467433
0.9941704035874437, 8.99233716475096
1.0022421524663676, 9.126436781609197
1.0089686098654707, 9.475095785440615
1.0156950672645737, 9.796934865900385
1.0251121076233183, 10.226053639846745
1.033183856502242, 10.49425287356322
1.0452914798206276, 10.681992337164752
1.0573991031390133, 10.896551724137932
1.0708520179372196, 11.11111111111111
1.0829596412556053, 11.191570881226054
1.1004484304932733, 11.084291187739463
1.1098654708520177, 11.003831417624522
1.1206278026905827, 11.164750957854407
1.130044843049327, 11.620689655172415
1.1381165919282508, 11.996168582375478
1.1488789237668158, 12.505747126436782
1.159641255605381, 12.96168582375479
1.1704035874439458, 13.310344827586206
1.1798206278026904, 13.444444444444445
1.1892376681614345, 13.578544061302683
1.2013452914798202, 13.685823754789272
